Z,Resistivity(ohm.m),easting,northing,ID
-0.8,18.624506,107764.197,183306.064,12.0
-0.7,24.026266666666668,107764.197,183306.064,12.0
-0.6,29.412543333333332,107764.197,183306.064,12.0
-0.5,37.50319,107764.197,183306.064,12.0
-0.4,44.3518025,107764.197,183306.064,12.0
-0.3,50.984722500000004,107764.197,183306.064,12.0
-0.2,55.9177875,107764.197,183306.064,12.0
-0.1,59.56594,107764.197,183306.064,12.0
-0.0,59.116825,107764.197,183306.064,12.0
-4.3,30.17407,107764.478,183305.65,13.0
-4.1,28.45359,107764.478,183305.65,13.0
-4.0,27.50325,107764.478,183305.65,13.0
-3.9,27.11995,107764.478,183305.65,13.0
-3.8,26.11184,107764.478,183305.65,13.0
-3.7,25.45309,107764.478,183305.65,13.0
-3.6,24.153255,107764.478,183305.65,13.0
-3.5,22.77768,107764.478,183305.65,13.0
-3.4,21.94488,107764.478,183305.65,13.0
-3.3,20.63524,107764.478,183305.65,13.0
-3.2,20.34019,107764.478,183305.65,13.0
-3.1,18.750843333333332,107764.478,183305.65,13.0
-3.0,17.29158,107764.478,183305.65,13.0
-2.9,16.74288,107764.478,183305.65,13.0
-2.8,15.630495,107764.478,183305.65,13.0
-2.7,15.08173,107764.478,183305.65,13.0
-2.6,13.66369,107764.478,183305.65,13.0
-2.5,12.496839999999999,107764.478,183305.65,13.0
-2.4,12.02871,107764.478,183305.65,13.0
-2.3,10.86565,107764.478,183305.65,13.0
-2.2,9.960775,107764.478,183305.65,13.0
-2.1,9.60401,107764.478,183305.65,13.0
-2.0,8.760156666666667,107764.478,183305.65,13.0
-1.9,8.1319,107764.478,183305.65,13.0
-1.8,7.88116,107764.478,183305.65,13.0
-1.7,7.369883333333334,107764.478,183305.65,13.0
-1.6,7.132263333333333,107764.478,183305.65,13.0
-1.5,7.11572,107764.478,183305.65,13.0
-1.4,7.247216666666667,107764.478,183305.65,13.0
-1.3,7.612939999999999,107764.478,183305.65,13.0
-1.2,8.421289999999999,107764.478,183305.65,13.0
-1.1,9.226836666666665,107764.478,183305.65,13.0
-1.0,9.95237,107764.478,183305.65,13.0
-0.9,11.808443333333335,107764.478,183305.65,13.0
-0.8,14.716453333333334,107764.478,183305.65,13.0
-0.7,19.584433333333333,107764.478,183305.65,13.0
-0.6,24.564516666666666,107764.478,183305.65,13.0
-0.5,32.109289999999994,107764.478,183305.65,13.0
-0.4,39.53632,107764.478,183305.65,13.0
-0.3,46.393845,107764.478,183305.65,13.0
-0.2,51.44579,107764.478,183305.65,13.0
-0.1,53.68475,107764.478,183305.65,13.0
-0.0,53.4946825,107764.478,183305.65,13.0
-4.3,30.80758,107764.759,183305.236,14.0
-4.2,30.5312,107764.759,183305.236,14.0
-4.1,29.5694,107764.759,183305.236,14.0
-4.0,29.08252,107764.759,183305.236,14.0
-3.9,27.770755,107764.759,183305.236,14.0
-3.8,26.59937,107764.759,183305.236,14.0
-3.7,26.44425,107764.759,183305.236,14.0
-3.6,25.073445,107764.759,183305.236,14.0
-3.4,23.393995,107764.759,183305.236,14.0
-3.3,21.9932,107764.759,183305.236,14.0
-3.2,21.19255,107764.759,183305.236,14.0
-3.1,19.7236,107764.759,183305.236,14.0
-2.9,17.853270000000002,107764.759,183305.236,14.0
-2.8,16.24153,107764.759,183305.236,14.0
-2.7,15.76998,107764.759,183305.236,14.0
-2.6,14.207795,107764.759,183305.236,14.0
-2.5,12.67627,107764.759,183305.236,14.0
-2.4,12.03799,107764.759,183305.236,14.0
-2.3,11.092053333333334,107764.759,183305.236,14.0
-2.2,10.266024999999999,107764.759,183305.236,14.0
-2.1,9.92478,107764.759,183305.236,14.0
-2.0,9.11128,107764.759,183305.236,14.0
-1.9,8.418406666666668,107764.759,183305.236,14.0
-1.8,7.734780000000001,107764.759,183305.236,14.0
-1.7,7.3318200000000004,107764.759,183305.236,14.0
